Date,Open,High,Low,Close,Adj Close,Volume
2009-11-23,1094.859985,1112.380005,1083.739990,1091.489990,1091.489990,12928000000
2009-11-30,1091.069946,1119.130005,1086.250000,1105.979980,1105.979980,22677340000
2009-12-07,1105.520020,1110.719971,1085.890015,1106.410034,1106.410034,20754380000
2009-12-14,1107.839966,1116.209961,1093.880005,1102.469971,1102.469971,28364370000
2009-12-21,1105.310059,1126.479980,1105.310059,1126.479980,1126.479980,12053050000
2009-12-28,1127.530029,1130.380005,1114.810059,1115.099976,1115.099976,9561710000
2010-01-04,1116.560059,1145.390015,1116.560059,1144.979980,1144.979980,21115350000
2010-01-11,1145.959961,1150.410034,1131.390015,1136.030029,1136.030029,21816230000
2010-01-18,1136.030029,1150.449951,1090.180054,1091.760010,1091.760010,22618330000
2010-01-25,1092.400024,1103.689941,1071.589966,1073.869995,1073.869995,25397670000
2010-02-01,1073.890015,1104.729980,1044.500000,1066.189941,1066.189941,25411190000
2010-02-08,1065.510010,1080.040039,1056.510010,1075.510010,1075.510010,22017080000
2010-02-15,1079.130005,1112.420044,1079.130005,1109.170044,1109.170044,16162900000
2010-02-22,1110.000000,1112.290039,1086.020020,1104.489990,1104.489990,20970170000
2010-03-01,1105.359985,1139.380005,1105.359985,1138.699951,1138.699951,20011650000
2010-03-08,1138.400024,1153.410034,1134.900024,1149.989990,1149.989990,24026590000
2010-03-15,1148.530029,1169.839966,1141.449951,1159.900024,1159.900024,22944000000
2010-03-22,1157.250000,1180.689941,1152.880005,1166.589966,1166.589966,23756390000
2010-03-29,1167.709961,1181.430054,1165.770020,1178.099976,1178.099976,16951790000
2010-04-05,1178.709961,1194.660034,1175.119995,1194.369995,1194.369995,22307770000
2010-04-12,1194.939941,1213.920044,1186.770020,1192.130005,1192.130005,29874510000
2010-04-19,1192.060059,1217.280029,1183.680054,1217.280029,1217.280029,29000480000
2010-04-26,1217.069946,1219.800049,1181.619995,1186.689941,1186.689941,31552280000
2010-05-03,1188.579956,1205.130005,1065.790039,1110.880005,1110.880005,38419430000
2010-05-10,1122.270020,1173.569946,1122.270020,1135.680054,1135.680054,28958750000
2010-05-17,1136.520020,1148.660034,1055.900024,1087.689941,1087.689941,32640260000
2010-05-24,1084.780029,1103.520020,1040.780029,1089.410034,1089.410034,27644340000
2010-05-31,1087.300049,1105.670044,1060.500000,1064.880005,1064.880005,21474390000
2010-06-07,1065.839966,1092.250000,1042.170044,1091.599976,1091.599976,26847570000
2010-06-14,1095.000000,1121.010010,1089.030029,1117.510010,1117.510010,23186040000
2010-06-21,1122.790039,1131.229980,1067.890015,1076.760010,1076.760010,23498560000
2010-06-28,1077.500000,1082.599976,1010.909973,1022.580017,1022.580017,25504460000
2010-07-05,1028.089966,1078.160034,1018.349976,1077.959961,1077.959961,17677490000
2010-07-12,1077.229980,1099.459961,1063.319946,1064.880005,1064.880005,22438320000
2010-07-19,1066.849976,1103.729980,1056.880005,1102.660034,1102.660034,22901430000
2010-07-26,1102.890015,1120.949951,1088.010010,1101.599976,1101.599976,21356600000
2010-08-02,1107.530029,1128.750000,1107.170044,1121.640015,1121.640015,19817300000
2010-08-09,1122.800049,1129.239990,1076.689941,1079.250000,1079.250000,20320520000
2010-08-16,1077.489990,1100.140015,1063.910034,1071.689941,1071.689941,18887030000
2010-08-23,1073.359985,1081.579956,1039.699951,1064.589966,1064.589966,19756640000
2010-08-30,1062.900024,1105.099976,1040.880005,1104.510010,1104.510010,18592350000
2010-09-06,1102.599976,1110.880005,1091.150024,1109.550049,1109.550049,12780950000
2010-09-13,1113.380005,1131.469971,1113.380005,1125.589966,1125.589966,19862160000
2010-09-20,1126.569946,1148.900024,1122.790039,1148.670044,1148.670044,19422610000
2010-09-27,1148.640015,1157.160034,1132.089966,1146.239990,1146.239990,20187050000
2010-10-04,1144.959961,1167.729980,1131.869995,1165.150024,1165.150024,19528080000
2010-10-11,1165.319946,1184.380005,1155.709961,1176.189941,1176.189941,22245800000
2010-10-18,1176.829956,1189.430054,1159.709961,1183.079956,1183.079956,22881410000
2010-10-25,1184.739990,1196.140015,1171.699951,1183.260010,1183.260010,20582070000
2010-11-01,1185.709961,1227.079956,1177.650024,1225.849976,1225.849976,23993790000
2010-11-08,1223.239990,1226.839966,1194.079956,1199.209961,1199.209961,21491310000
2010-11-15,1200.439941,1207.430054,1173.000000,1199.729980,1199.729980,20887180000
2010-11-22,1198.069946,1198.939941,1176.910034,1189.400024,1189.400024,12820640000
2010-11-29,1189.079956,1225.569946,1173.640015,1224.709961,1224.709961,21212840000
2010-12-06,1223.869995,1240.400024,1219.500000,1240.400024,1240.400024,24175410000
2010-12-13,1242.520020,1246.729980,1232.849976,1243.910034,1243.910034,22270220000
2010-12-20,1245.760010,1259.390015,1241.510010,1256.770020,1256.770020,10828420000
2010-12-27,1254.660034,1262.599976,1251.479980,1257.640015,1257.640015,10455790000
2011-01-03,1257.619995,1278.170044,1257.619995,1271.500000,1271.500000,23655220000
2011-01-10,1270.839966,1293.239990,1262.180054,1293.239990,1293.239990,21286570000
2011-01-17,1293.219971,1296.060059,1271.260010,1283.349976,1283.349976,19899340000
2011-01-24,1283.290039,1302.670044,1275.099976,1276.339966,1276.339966,23156650000
2011-01-31,1276.500000,1311.000000,1276.500000,1310.869995,1310.869995,21726860000
2011-02-07,1311.849976,1330.790039,1311.739990,1329.150024,1329.150024,20109950000
2011-02-14,1328.729980,1344.069946,1324.609985,1343.010010,1343.010010,12589110000
2011-02-21,1338.910034,1338.910034,1294.260010,1319.880005,1319.880005,7712050000
2011-02-28,1321.609985,1332.280029,1302.579956,1321.150024,1321.150024,12022480000
2011-03-07,1322.719971,1327.680054,1291.989990,1304.280029,1304.280029,20669090000
2011-03-14,1301.189941,1301.189941,1249.050049,1279.209961,1279.209961,23905220000
2011-03-21,1281.650024,1319.180054,1281.650024,1313.800049,1313.800049,20090110000
2011-03-28,1315.449951,1337.849976,1305.260010,1332.410034,1332.410034,18297330000
2011-04-04,1333.560059,1339.459961,1322.939941,1328.170044,1328.170044,19888170000
2011-04-11,1329.010010,1333.770020,1302.420044,1319.680054,1319.680054,19701690000
2011-04-18,1313.349976,1337.489990,1294.699951,1337.380005,1337.380005,15933560000
2011-04-25,1337.140015,1364.560059,1331.469971,1363.609985,1363.609985,17617650000
2011-05-02,1365.209961,1370.579956,1329.170044,1340.199951,1340.199951,20363720000
2011-05-09,1340.199951,1359.439941,1332.030029,1337.770020,1337.770020,19539110000
2011-05-16,1334.770020,1346.819946,1318.510010,1333.270020,1333.270020,19514380000
2011-05-23,1333.069946,1334.619995,1311.800049,1331.099976,1331.099976,17595530000
2011-05-30,1331.099976,1345.199951,1297.900024,1300.160034,1300.160034,16204530000
2011-06-06,1300.260010,1300.260010,1268.280029,1270.979980,1270.979980,18551800000
2011-06-13,1271.310059,1292.500000,1258.069946,1271.500000,1271.500000,20466010000
2011-06-20,1271.500000,1298.609985,1262.869995,1268.449951,1268.449951,19888020000
2011-06-27,1268.439941,1341.010010,1267.530029,1339.670044,1339.670044,19505540000
2011-07-04,1339.589966,1356.479980,1330.920044,1343.800049,1343.800049,14950400000
2011-07-11,1343.310059,1343.310059,1306.510010,1316.140015,1316.140015,20768430000
2011-07-18,1315.939941,1347.000000,1295.920044,1345.020020,1345.020020,20550440000
2011-07-25,1344.319946,1344.319946,1282.859985,1292.280029,1292.280029,21035970000
2011-08-01,1292.589966,1307.380005,1168.089966,1199.380005,1199.380005,26341740000
2011-08-08,1198.479980,1198.479980,1101.540039,1178.810059,1178.810059,19325310000
2011-08-15,1178.859985,1208.469971,1122.050049,1123.530029,1123.530029,22135160000
2011-08-22,1123.550049,1190.680054,1121.089966,1176.800049,1176.800049,26548480000
2011-08-29,1177.910034,1230.709961,1170.560059,1173.969971,1173.969971,23250630000
2011-09-05,1173.969971,1204.400024,1140.130005,1154.229980,1154.229980,18596560000
2011-09-12,1153.500000,1220.060059,1136.069946,1216.010010,1216.010010,24565280000
2011-09-19,1214.989990,1220.390015,1114.219971,1136.430054,1136.430054,25641420000
2011-09-26,1136.910034,1195.859985,1131.069946,1131.420044,1131.420044,24801410000
2011-10-03,1131.209961,1171.400024,1074.770020,1155.459961,1155.459961,22574340000
2011-10-10,1158.150024,1224.609985,1158.150024,1224.579956,1224.579956,22779620000
2011-10-17,1224.469971,1239.030029,1191.479980,1238.250000,1238.250000,23838320000
2011-10-24,1238.719971,1292.660034,1221.060059,1285.089966,1285.089966,24561180000
2011-10-31,1284.959961,1284.959961,1215.420044,1253.229980,1253.229980,22746070000
2011-11-07,1253.209961,1277.550049,1226.640015,1263.849976,1263.849976,19370910000
2011-11-14,1263.849976,1264.250000,1209.430054,1215.650024,1215.650024,19328050000
2011-11-21,1215.619995,1215.619995,1158.660034,1158.670044,1158.670044,13424920000
2011-11-28,1158.670044,1260.079956,1158.670044,1244.280029,1244.280029,21678300000
2011-12-05,1244.329956,1267.060059,1231.469971,1255.189941,1255.189941,20171810000
2011-12-12,1255.050049,1255.050049,1209.469971,1219.660034,1219.660034,21176570000
2011-12-19,1219.739990,1265.420044,1202.369995,1265.329956,1265.329956,16400510000
2011-12-26,1265.020020,1269.369995,1248.640015,1257.599976,1257.599976,9030550000
2012-01-02,1258.859985,1284.619995,1258.859985,1277.810059,1277.810059,15509070000
